node,name
4139,Pradhankhunta Junction
4140,Sindri Town
4143,Jarangdih
4144,Chandrapura Junction
4145,Chainpur
4146,Dumri Bihar
4150,Barkipona
4151,Ramgarh
4152,Arigada
4155,Gola Road
4157,Barachak
4165,Salanpur
4167,Barabanki Junction
4179,Balod
4194,Manpur Junction
4195,Baidyanathdham
4197,Deepnagar Halt
4199,Tilaiya Junction Railway Station
4200,Nalanda
4201,Waris Aleganj
4202,Rajgir
4204,Jhajha
4205,Paraiya
4206,Silao
4209,Nawadah
4211,Bakhtiyarpur Junction
4213,Pawapuri Road
4214,Kharuara Halt
4215,Bihar Sharif Junction
4216,Khagaria
4218,Fungo Halt
4225,Gangarampur
4226,Radhikapur
4227,Raghogarh
4245,Trikaripur
4261,Karjara
4263,Mandar Hill
4267,Bahadursinghwala
4269,Kotli Kalan
4270,Sadda Singh Wala
4272,Malsian Shahkot
4273,Husainpur
4277,Dudwindi
4283,Genoli Road
4287,Sigoli Shyam
4288,Kothia
4289,Barundini
4290,Parsoli
4292,Manihari
4293,Pollachi Junction
4304,Kodumudi
4309,Helem
4313,Khoirabari
4316,Lilabari
4318,New Misamari
4319,Udalguri
4320,Bindukuri
4323,Bongaigaon
4324,New Alipurduar
4325,Alipur Duar Junction
4326,Baneshwar
4329,Raja Bhat Khawa
4331,Mujnai
4334,Changrabandha
4335,Haldibari
4337,Sivok
4340,Karimganj Junction
4341,Badarpur Junction
4343,Dullabcherra
4345,Churaibari
4350,Golaghat Railway Station
4352,Barua Bamungaon
4356,Rowta Bagan
4357,Langting
4361,Silghat Town
4362,Mairabari
4366,Raha
4367,Senchoa Junction
4368,Haibargaon
4369,Batadrawa Road
4371,Desang
4372,Moranhat
4373,Dibrugarh
4374,Tuli
4386,Baghoi Kusa
4388,Chunar Junction
4391,Mirzapur Railway Station
4405,Ismailpur
4408,Anugraha Narayan Road
4416,Magnesite Junction
4431,Kuwarchintawa
4433,Jiwdhara
4446,Sahibabad Junction
4475,Hamirpur Road
4478,Yamuna South Bank
4537,Shajapur
4548,Salhana
4551,Ganeshganj
4554,Khachrod
4558,Pipariya Kalan
4559,Chhataini
4561,Damoy
4563,Khanna Banjari
4574,Krishnashilla
4582,Midghat
4591,Choka
4592,Okhla
4608,Delhi Safdarjang
4609,Chanakyapuri
4612,Parasia
4614,Mindala
4615,Khirsadoh
4617,Kirmiti Mendha
4618,Gangiwara
4619,Bramhapuri
4628,Pendra Road
4633,Jaithari
4635,Nigaura
4636,Udalkachar
4638,Bijuri
4641,Kotma
4642,New Delhi
4644,Shivaji Bridge
4669,Tilak Bridge
4670,Karonji
4671,Tiger Hill
4672,Bishrampur
4673,Katora
4674,Darritola Junction
4681,Lathidad
4697,Tis Hazari
4709,Pratap Nagar
4715,Shastri Park
4722,Pul Bangash
4747,Lal Quila
4752,Subzimandi
4791,Chandni Chowk
4830,Netaji Subhash Place (Pink Line)
4857,Patel Nagar
4858,Kirti Nagar (Blue Line)
4859,Satguru Ramsingh Marg
4864,Dayabasti
4866,Ashok Park Main
4877,Kirti Nagar
4878,Naraina Vihar
4892,Delhi Sarai Rohilla
4894,Delhi Kishanganj
4921,Vadiya Devli
4922,Kanad
4924,Palitana
4928,Dungar
4931,Damnagar
4936,Adarsh Nagar
4946,Jetalvad
4955,Mambalam
4957,Ghanauli
4959,Bhurjiha Baragn
4961,Hargaon
4962,Dudhwa
4963,Phardhan
4964,Kadipur Sani Halt
4965,Mala
4966,Dohna
4967,Kathgodam
4968,Bhojipura
4972,Haldwani Railway Station
4985,Haiderpur Badli Mor
4998,"Rohini Sector 18, 19"
5000,Samaypur Badli
5001,Badli
5007,Lakshmanpur Halt
5019,Saharsa Junction
5023,Izatnagar Junction
5026,Sherganj
5029,Harapatti
5033,Nim-ka-Khera
5036,Mandalgarh
5039,Bassi Berisal
5041,Jodhpuriya
5047,Thambavati Nagri
5056,Hindaun City
5059,Fateh Singh Pura
5062,Dumariya
5064,Shri Mahaveer Ji
5067,New Delhi Airport Express Terminal
5070,Sewar
5072,Jaicholi
5074,Salabad
5075,Pingora
5084,Khandip
5085,Pilioda
5089,Chhoti Odai
5094,Doomdooma
5105,Dolavli
5144,Mosur
5145,Azhwarkurichi
5146,Kallidaikurichi
5150,Kottarakara
5151,Sivaganga
5153,Tiruvannamalai
5167,Kolaghat
5168,Haldia
5169,Teni
5170,Tada
5177,Chidambaram
5178,Neyveli
5180,Sullurupeta
5181,Arambakkam
5182,Kundara
5183,Sholinghur
5184,Arni Road
5185,Peralam Junction
5186,Nagappattinam Beach
5187,Vithisvarankol
5189,Ayyampet
5210,Jutogh
5227,Taradevi
5235,Guindy
5236,Palavanthangal
5237,Tirusulam
5249,Shoghi railway station
5255,Cuddalore Port Junction
5256,Tiruppadirippuliyur
5266,Kathleeghat
5312,Kandaghat
5327,Salogra
5332,Solan Brewery
5347,Solan
5358,Barog
5367,Kumarhatti
5384,Dharampur Himachal
5397,Sonwara
5431,Hafizpur
5442,Ahraura Road
5446,Kheta Sarai
5448,Jaunpur City
5465,Mihrawan
5477,Harpalganj
5503,Bakhsha
5506,Nima Gopalpur
5533,Sri Krishna Nagar
5562,Sathiaon
5571,Muhammadabad
5577,Paligarh
5585,Khurahat
5589,Azamgarh
5594,Duliajan
5595,Hirakud
5598,Gopalpur Balikuda
5601,Kathajori
5619,Puri
5626,Ramanathapuram
5654,Sason
5657,Sankaval
5659,Rairakhol
5662,Sambalpur City
5665,Lapanga
5671,Porbandar
5673,Bhayavadar
5679,Hatia
5680,Bano
5682,Tati
5685,Mahabuang
5686,Kanaroan
5692,Rana Bordi
5695,Masor Road
