id,lon,lat
514,77.54831,13.03038
515,77.56851,12.99349
516,83.02385,25.33409
517,83.02415,25.33392
518,76.53593,9.59163
519,76.53655,9.59069
520,76.53746,9.58840
521,76.53777,9.58720
522,76.53624,9.57900
523,76.89271,8.51298
524,76.88997,8.51390
525,76.52468,9.60672
526,76.47893,9.76659
527,76.52912,9.59631
528,74.88477,12.86605
529,74.88578,12.86589
530,74.88825,12.88254
531,74.88577,12.88726
532,74.86509,12.95398
533,74.86306,12.95729
534,74.80300,13.06392
535,74.80498,13.03580
536,74.81945,12.96775
537,74.80656,13.12982
538,74.81082,13.11491
539,74.80773,13.01587
540,74.83780,12.96214
541,79.06730,21.09001
542,78.69483,20.77160
543,78.54389,20.72235
544,77.75580,20.84079
545,77.68474,20.84404
546,78.52474,21.45510
