id,lon,lat
851,72.827723,18.966575
852,72.812943,18.966971
853,72.826297,18.966983
854,72.830608,18.966327
855,72.831421,18.966313
856,72.810984,18.967344
857,72.825128,18.966915
858,72.826878,18.966998
859,72.830713,18.966575
860,72.827815,18.966970
861,72.809869,18.967800
862,72.819069,18.967690
863,72.829942,18.966872
864,72.831593,18.966685
865,72.826816,18.967272
866,72.825146,18.967181
867,72.828748,18.967067
868,72.846043,18.967352
869,72.827898,18.967262
870,72.847094,18.967152
871,72.814155,18.967619
872,72.825182,18.967537
873,72.826857,18.967524
874,72.826442,18.967627
875,72.844841,18.967596
876,72.810811,18.968276
877,72.813489,18.967888
878,72.825199,18.967942
879,72.841592,18.967872
880,72.807541,18.966682
881,72.813277,18.967987
882,72.803411,18.967272
883,72.814088,18.968680
884,72.844146,18.967985
885,72.822019,18.968646
886,72.840328,18.968228
887,72.843811,18.968221
888,72.803667,18.969087
889,72.829124,18.967740
890,72.808900,18.969176
891,72.833410,18.969460
892,72.842797,18.968445
893,72.845222,18.968590
894,72.820677,18.968786
895,72.841934,18.968294
896,72.818562,18.968432
897,72.844227,18.968919
898,72.812516,18.968322
899,72.816874,18.969204
900,72.837525,18.968775
901,72.840715,18.968719
902,72.803867,18.969778
903,72.813962,18.969368
904,72.815191,18.969301
905,72.815480,18.969269
906,72.816115,18.969334
907,72.827822,18.968634
908,72.842284,18.969190
909,72.846158,18.968984
910,72.812997,18.969426
911,72.844519,18.969432
912,72.845405,18.969773
913,72.815144,18.969707
914,72.844319,18.969483
915,72.846169,18.969728
916,72.846545,18.969695
917,72.813020,18.969595
918,72.842503,18.969799
919,72.830184,18.969875
920,72.806771,18.970870
921,72.810936,18.970308
922,72.811929,18.970808
923,72.815018,18.970453
924,72.839998,18.970251
925,72.841691,18.970083
926,72.840493,18.970554
927,72.809512,18.970653
928,72.828053,18.970594
929,72.804347,18.970313
930,72.827561,18.970609
931,72.828024,18.970825
932,72.829464,18.970422
933,72.813216,18.970329
934,72.838980,18.970617
935,72.842134,18.970638
936,72.813815,18.970363
937,72.825412,18.970525
938,72.838563,18.970751
939,72.839233,18.971256
940,72.823743,18.971031
941,72.825660,18.971255
942,72.832281,18.971327
943,72.824933,18.971423
944,72.815931,18.971711
945,72.846401,18.972167
946,72.848803,18.971575
947,72.814987,18.971821
948,72.823931,18.971704
949,72.813665,18.972113
950,72.823402,18.971852
951,72.825862,18.971916
952,72.827866,18.972074
953,72.843179,18.971716
954,72.811309,18.972569
955,72.818349,18.971812
956,72.845156,18.972067
957,72.837590,18.972214
958,72.814854,18.972326
959,72.816274,18.972077
960,72.826038,18.972466
961,72.846411,18.972357
962,72.817489,18.972326
963,72.818671,18.972634
964,72.830093,18.972242
965,72.848280,18.972424
966,72.818355,18.972681
967,72.821780,18.971982
968,72.825240,18.972846
969,72.829486,18.972327
970,72.838053,18.972485
971,72.823220,18.972654
972,72.827782,18.972722
973,72.828337,18.972584
974,72.828845,18.972479
975,72.811362,18.973480
976,72.816892,18.972693
977,72.840393,18.972549
978,72.826217,18.973041
979,72.832493,18.972793
980,72.840373,18.972830
981,72.842352,18.973005
982,72.814720,18.972923
983,72.824808,18.973460
984,72.830371,18.973340
985,72.834204,18.973783
986,72.829780,18.973493
987,72.829152,18.973649
988,72.810586,18.974119
989,72.823850,18.973830
990,72.825575,18.973721
